type,type_code,OSM-ID,lat,lon,Name
POI_VILLAGE,468812,468812,468812,468812,468812
TRANSPORT_BUSSTOP,287061,287061,287061,287061,287061
POI_HAMLET,213914,213914,213914,213914,213914
EDUCATION_SCHOOL,197108,197108,197108,197108,197108
FOOD_RESTAURANT,160735,160735,160735,160735,160735
SHOP_CONVENIENCE,117358,117358,117358,117358,117358
SHOP_SUPERMARKET,88124,88124,88124,88124,88124
ACCOMMO_HOTEL,85697,85697,85697,85697,85697
HEALTH_HOSPITAL,81657,81657,81657,81657,81657
LANDUSE_GRASS,81301,81301,81301,81301,81301
SHOP_DEPARTMENTSTORE,76418,76418,76418,76418,76418
MONEY_BANK,73446,73446,73446,73446,73446
POI_PEAK,72968,72968,72968,72968,72968
TRANSPORT_FUEL,64335,64335,64335,64335,64335
EDUCATION_NURSERY,60556,60556,60556,60556,60556
FOOD_CAFE,60144,60144,60144,60144,60144
AMENITY_PUBLICBUILDING,50115,50115,50115,50115,50115
POI_TOWN,47807,47807,47807,47807,47807
POW_ISLAMIC,47319,47319,47319,47319,47319
POI_CRANE,39935,39935,39935,39935,39935
FOOD_FASTFOOD,39645,39645,39645,39645,39645
TRANSPORT_STATION,38247,38247,38247,38247,38247
HEALTH_PHARMACY,37570,37570,37570,37570,37570
AMENITY_POSTOFFICE,36317,36317,36317,36317,36317
AMENITY_POLICE,33897,33897,33897,33897,33897
SHOP_HAIRDRESSER,30342,30342,30342,30342,30342
SHOP_CLOTHES,29041,29041,29041,29041,29041
POW_CHRISTIAN,25558,25558,25558,25558,25558
SHOP_CARREPAIR,25190,25190,25190,25190,25190
TOURIST_ATTRACTION,25160,25160,25160,25160,25160
POW_UNKOWN,24410,24410,24410,24410,24410
POW_BUDDHIST,22071,22071,22071,22071,22071
EDUCATION_UNIVERSITY,21888,21888,21888,21888,21888
TOURIST_THEATRE,21292,21292,21292,21292,21292
SHOP_DIY,21060,21060,21060,21060,21060
TOURIST_MEMORIAL,18304,18304,18304,18304,18304
AMENITY_TOWNHALL,17229,17229,17229,17229,17229
SHOP_BAKERY,16266,16266,16266,16266,16266
HEALTH_DENTIST,15901,15901,15901,15901,15901
POI_SUBURB,15699,15699,15699,15699,15699
SHOP_CAR,14529,14529,14529,14529,14529
FOOD_BAR,14474,14474,14474,14474,14474
BARRIER_BLOCKS,14354,14354,14354,14354,14354
WATER_WEIR,13973,13973,13973,13973,13973
EDUCATION_COLLEGE,13959,13959,13959,13959,13959
SHOP_MARKETPLACE,13695,13695,13695,13695,13695
FOOD_PUB,13609,13609,13609,13609,13609
HEALTH_DOCTORS,13109,13109,13109,13109,13109
SHOP_HIFI,12366,12366,12366,12366,12366
POW_HINDU,12077,12077,12077,12077,12077
TOURIST_MUSEUM,12030,12030,12030,12030,12030
SHOP_ALCOHOL,12021,12021,12021,12021,12021
AMENITY_LIBRARY,11438,11438,11438,11438,11438
SHOP_PHONE,10719,10719,10719,10719,10719
SHOP_BICYCLE,10716,10716,10716,10716,10716
SPORT_LEISURECENTER,10116,10116,10116,10116,10116
AMENITY_FIRESTATION,9898,9898,9898,9898,9898
ACCOMMO_HOSTEL,9452,9452,9452,9452,9452
TOURIST_ART,9199,9199,9199,9199,9199
POW_SHINTO,9191,9191,9191,9191,9191
AMENITY_PLAYGROUND,9015,9015,9015,9015,9015
ACCOMMO_MOTEL,8979,8979,8979,8979,8979
