type,type_code,OSM-ID,lat,lon,Name
POW_CHRISTIAN,220285,220285,220285,220285,220285
EDUCATION_SCHOOL,212700,212700,212700,212700,212700
LANDUSE_GRASS,180708,180708,180708,180708,180708
POI_HAMLET,179554,179554,179554,179554,179554
TRANSPORT_BUSSTOP,152076,152076,152076,152076,152076
FOOD_RESTAURANT,139461,139461,139461,139461,139461
BARRIER_BLOCKS,135021,135021,135021,135021,135021
POI_PEAK,92889,92889,92889,92889,92889
FOOD_FASTFOOD,80507,80507,80507,80507,80507
SHOP_DEPARTMENTSTORE,54973,54973,54973,54973,54973
TRANSPORT_FUEL,51263,51263,51263,51263,51263
WATER_DAM,50529,50529,50529,50529,50529
SHOP_SUPERMARKET,46064,46064,46064,46064,46064
POI_VILLAGE,43565,43565,43565,43565,43565
SHOP_CONVENIENCE,39807,39807,39807,39807,39807
MONEY_BANK,35575,35575,35575,35575,35575
LANDUSE_QUARY,35331,35331,35331,35331,35331
ACCOMMO_HOTEL,33092,33092,33092,33092,33092
FOOD_CAFE,32892,32892,32892,32892,32892
TOURIST_BEACH,27213,27213,27213,27213,27213
SHOP_CLOTHES,26249,26249,26249,26249,26249
SHOP_HAIRDRESSER,25224,25224,25224,25224,25224
AMENITY_POSTOFFICE,23652,23652,23652,23652,23652
AMENITY_FIRESTATION,23207,23207,23207,23207,23207
WATER_WEIR,22848,22848,22848,22848,22848
SHOP_CARREPAIR,22502,22502,22502,22502,22502
EDUCATION_UNIVERSITY,21559,21559,21559,21559,21559
HEALTH_PHARMACY,18638,18638,18638,18638,18638
SPORT_GOLF,18296,18296,18296,18296,18296
ACCOMMO_CAMPING,17460,17460,17460,17460,17460
TRANSPORT_AIRPORT,17039,17039,17039,17039,17039
HEALTH_HOSPITAL,17003,17003,17003,17003,17003
POI_TOWERLOOKOUT,16131,16131,16131,16131,16131
AMENITY_LIBRARY,15962,15962,15962,15962,15962
FOOD_BAR,14676,14676,14676,14676,14676
SHOP_DIY,14268,14268,14268,14268,14268
TOURIST_ATTRACTION,13633,13633,13633,13633,13633
SHOP_VENDINGMASCHINE,13482,13482,13482,13482,13482
EDUCATION_NURSERY,13371,13371,13371,13371,13371
ACCOMMO_MOTEL,11993,11993,11993,11993,11993
POI_CRANE,11693,11693,11693,11693,11693
SHOP_CAR,11630,11630,11630,11630,11630
TOURIST_THEATRE,11365,11365,11365,11365,11365
LANDUSE_CONIFEROUSDECIDUOUS,11352,11352,11352,11352,11352
AMENITY_POLICE,10725,10725,10725,10725,10725
AMENITY_PUBLICBUILDING,10696,10696,10696,10696,10696
TOURIST_MUSEUM,10085,10085,10085,10085,10085
AMENITY_TOWNHALL,9368,9368,9368,9368,9368
SPORT_LEISURECENTER,9116,9116,9116,9116,9116
POI_TOWN,9102,9102,9102,9102,9102
TOURIST_ART,8627,8627,8627,8627,8627
LANDUSE_SWAMP,8531,8531,8531,8531,8531
SHOP_ALCOHOL,8413,8413,8413,8413,8413
FOOD_PUB,8298,8298,8298,8298,8298
POW_UNKOWN,7700,7700,7700,7700,7700
HEALTH_DOCTORS,7613,7613,7613,7613,7613
SHOP_LAUNDRETTE,7595,7595,7595,7595,7595
HEALTH_DENTIST,7226,7226,7226,7226,7226
SPORT_BASEBALL,6879,6879,6879,6879,6879
TRANSPORT_RENTALCAR,6573,6573,6573,6573,6573
AMENITY_PLAYGROUND,6543,6543,6543,6543,6543
SHOP_FLORIST,6478,6478,6478,6478,6478
SHOP_BICYCLE,6422,6422,6422,6422,6422
TOURIST_MEMORIAL,6410,6410,6410,6410,6410
SHOP_PHONE,6134,6134,6134,6134,6134
EDUCATION_COLLEGE,5686,5686,5686,5686,5686
SHOP_GIFT,5664,5664,5664,5664,5664
TRANSPORT_STATION,5524,5524,5524,5524,5524
SHOP_BAKERY,5476,5476,5476,5476,5476
SPORT_STADIUM,5024,5024,5024,5024,5024
TOURIST_MONUMENT,4618,4618,4618,4618,4618
SHOP_MOTORCYCLE,4471,4471,4471,4471,4471
SHOP_SHOES,4456,4456,4456,4456,4456
SPORT_SOCCER,4298,4298,4298,4298,4298
POI_SUBURB,4202,4202,4202,4202,4202
SHOP_JEWELRY,4202,4202,4202,4202,4202
ACCOMMO_CARAVAN,4109,4109,4109,4109,4109
SHOP_HIFI,4107,4107,4107,4107,4107
TOURIST_CINEMA,3987,3987,3987,3987,3987
SHOP_PET,3719,3719,3719,3719,3719
HEALTH_VETERINARY,3590,3590,3590,3590,3590
SHOP_BOOK,3521,3521,3521,3521,3521
SPORT_TENNIS,3458,3458,3458,3458,3458
SHOP_COPYSHOP,3382,3382,3382,3382,3382
AMENITY_COURT,3319,3319,3319,3319,3319
SHOP_CONFECTIONERY,3222,3222,3222,3222,3222
SPORT_SWIMMING,3213,3213,3213,3213,3213
LANDUSE_MILITARY,3033,3033,3033,3033,3033
TRANSPORT_SUBWAY,2897,2897,2897,2897,2897
TOURIST_RUINS,2816,2816,2816,2816,2816
FOOD_ICECREAM,2792,2792,2792,2792,2792
SPORT_BASKETBALL,2334,2334,2334,2334,2334
SHOP_MARKETPLACE,2329,2329,2329,2329,2329
POI_CITY,2172,2172,2172,2172,2172
TRANSPORT_MARINA,2105,2105,2105,2105,2105
SPORT_FOOTBALL,2080,2080,2080,2080,2080
AMENITY_PRISON,2023,2023,2023,2023,2023
TOURIST_NIGHTCLUB,1934,1934,1934,1934,1934
