latitude,longitude,altitude,geometry,comparison,type
47.3863719,8.5169761,,Point,2.2360679775,FOOD_FASTFOOD
47.3865335,8.5163225,,Point,2.4494897428,SHOP_KIOSK
47.3867624,8.5158518,,Point,3.3166247904,SPORT_LEISURECENTER
47.3858981,8.51772,,Point,6.6332495807,FOOD_FASTFOOD
47.3856858,8.5194418,,Point,10.8627804912,SHOP_CLOTHES
47.3856831,8.5193845,,Point,10.8627804912,POI_TOWERLOOKOUT
47.3856511,8.5196211,,Point,11.1803398875,FOOD_CAFE
50.5659033,7.2774976,,Point,11.2249721603,ACCOMMO_HOTEL
47.3856093,8.5196778,,Point,11.2249721603,SHOP_DEPARTMENTSTORE
50.5661084,7.277409,,Point,11.7473401245,FOOD_BIERGARTEN
50.5662764,7.2776448,,Point,12.3693168769,TOURIST_MUSEUM
50.5665266,7.2772647,,Point,12.3693168769,LANDUSE_GRASS
55.594312,13.0000144,,Point,12.409673646,SHOP_CONVENIENCE
47.3855574,8.5212997,,Point,12.7279220614,SHOP_DEPARTMENTSTORE
55.5941991,13.0000053,,Point,12.9228479833,MONEY_EXCHANGE
50.5670389,7.2798506,,Point,13.1909059583,ACCOMMO_HOTEL
48.1549751,11.5860868,,Point,13.3416640641,SHOP_HAIRDRESSER
48.1461733,11.5367127,,Point,13.3790881603,TRANSPORT_TRAMSTOP
50.5672201,7.2788331,,Point,13.7477270849,EDUCATION_SCHOOL
48.1462693,11.5358954,,Point,14.2126704036,TRANSPORT_TRAMSTOP
48.1548528,11.5856125,,Point,14.2828568571,FOOD_RESTAURANT
48.2322832,16.3565157,,Point,14.3874945699,FOOD_RESTAURANT
48.2322606,16.3565265,,Point,14.3874945699,FOOD_CAFE
47.3851359,8.5209751,,Point,14.4222051019,SHOP_DEPARTMENTSTORE
46.8072371,7.1601048,,Point,14.4568322948,AMENITY_LIBRARY
46.8077422,7.159627,,Point,14.5258390463,TOURIST_MUSEUM
48.1577069,14.0178371,,Point,14.7309198627,FOOD_FASTFOOD
46.8070818,7.160378,,Point,14.7986485869,TOURIST_FOUNTAIN
48.067329,6.8705958,,Point,14.8660687473,AMENITY_POLICE
46.807015,7.1603461,,Point,14.8996644258,SPORT_GOLF
48.2319815,16.3566581,,Point,14.9331845231,FOOD_FASTFOOD
51.9824188,5.9186749,,Point,15.2315462117,ACCOMMO_HOTEL
48.1744337,6.4499165,,Point,15.4919333848,SHOP_DEPARTMENTSTORE
48.1750999,6.4501621,,Point,15.4919333848,MONEY_BANK
48.1750879,6.4495057,,Point,15.4919333848,HEALTH_PHARMACY
48.1751046,6.4500164,,Point,15.4919333848,MONEY_BANK
48.1749094,6.4501197,,Point,15.4919333848,FOOD_PUB
48.1748035,6.449961,,Point,15.4919333848,SHOP_DEPARTMENTSTORE
48.1746152,6.4492155,,Point,15.4919333848,EDUCATION_SCHOOL
48.1742103,6.4510119,,Point,15.5241746963,POW_CHRISTIAN
48.1755273,6.4482528,,Point,15.5884572681,SHOP_HAIRDRESSER
